Name,Municipality,County,Address,Student body count,Latitude,Longitude
Møller kompetansesenter - Statlig Spesialpedagogis,Trondheim,Sør-Trøndelag,,,,
Hesseng Flerbrukssenter Avdeling skole,Sør-Varanger,Finnmark,,,,
Vågan Oppvekstsenter - Avdeling skole,Snillfjord,Sør-Trøndelag,,,,
Imsland skule,Vindagjord ,Rogaland,,,,
Innfjorden skole og Barnehage,Rauma,Møre og Romsdal,,,,
SPAIN - DNS - Gran Canaria,Utland,Utland,,,,
Budal og Singsaas Oppvekstområde - Avd Singsås sko,Midtre Gauldal,Sør-Trøndelag,,,,
PERU - Colegio Noruego,Utland,Utland,,,,
QATAR- Qafco Norwegian School,Utland,Utland,,,,
"SPAIN - Costa Blanca Undervisning, Albir",Utland,Utland,,,,
SPAIN - DNS - Costa del Sol,Utland,Utland,,,,
Tyrifjord skole Adventistsamfunnets grunnskole,Hole,Buskerud,,41,,
Frydenlund skole og ressurssenter,Skedsmo,Akershus,,,,
Stiftelsen Lyngdal Kristne grunnskole,Lyngdal,Vest-Agder,,,,
Rossland skule,Meland,Hordaland,"Skintveitvegen 11, 5917 ROSSLAND",134,,
Stiftelsen Steinerskolen i Indre Østfold,Askim,Østfold,,4,,
Råkollen skole,Fredrikstad,Østfold,,,,
Torderød skole Adventistkirkens grunnskole,Moss,Østfold,,,,
BELGIUM - Scandinavian school in Brussels (Ecole R,Utland,Utland,,,,
BELGIUM - SHAPE International School Norwegian Sec,Utland,Utland,,,,
BOLIVIA - Colegio Noruego,Utland,Utland,,,,
ENGLAND - The Norwegian School in London,Utland,Utland,,,,
"FRANCE - Lycee International, Section danoise et n",Utland,Utland,,,,
SPAIN - DNS - Costa Blanca,Utland,Utland,,,,
Husvika skole,Vefsn,Nordland,"Husvika, 8883 HUSVIKA",6,,
Máze Lagasbirasguovddá/maze Nærmiljøsenter - Máze ,Kautokeino,Finnmark,,,,
Vats skule,Vindagjord ,Rogaland,,,,
Ådalsbruk Oppvekstsenter,Løten,Hedmark,,,,
Skogsvåg skule,Sund,Hordaland,"Skogsvåg, 5382 SKOGSVÅG",16,,
Stiftelsen Trondheim International School,Trondheim,Sør-Trøndelag,,,,
Trones Oppvekstsenter,Namsskogan,Nord-Trøndelag,,7,,
Måndalen barne- og ungdomsskule,Rauma,Møre og Romsdal,"Kongensgate 1, 6300 ÅNDALSNES",10,,
Åfarnes skole og Barnehage - Avd skole,Rauma,Møre og Romsdal,,,,
Åram barne- og ungdomsskule,Vanylven,Møre og Romsdal,,,,
Statped Vest - Avdeling Hunstad skole,Bergen,Hordaland,,,,
Steinerskolen på Skjold - Helseped Avdeling,Bergen,Hordaland,,,,
Deutche Schule Oslo - Max Tau,Oslo,Oslo,"Sporveisgata 20, 0354 OSLO",22,,
Granvin Barne- og Undomsskule,Granvin,Hordaland,"Tråena, 5736 GRANVIN",13,,
Ramsund Skole/tjeldsund ungdomsskole,Tjeldsund,Nordland,"Ramsund, 9442 RAMSUND",,,
Songdalen ungdomsskole,Sogndalen,Vest-Agder,,,,
Finsland skole,Sogndalen,Vest-Agder,,,,
Holmen skole - Grunnskole/videregående skole,Asker,Akershus,,,,
Steinerskolen på Hedemarken - Avd Grunnskolen Otte,Stange,Hedmark,,,,
Brånås Nærmiljøsenter Avd. skole,Skedsmo,Akershus,,,,
Olden skule,Stryn,Sogn og Fjordane,"Muri, 6788 OLDEN",14,,
Lund Oppvekstsenter - Avdeling skole,Løten,Hedmark,,,,
Brevik skole,Porsgrunn,Telemark,"Chrystiesgate 1, 3950 BREVIK",28,,
Svortland skule,Bømlo,Hordaland,"Jamnaheia, 5430 BREMNES",,,
Trara skole,Fredrikstad,Østfold,"Leiegata 17, 1617 FREDRIKSTAD",367,,
Vågen skule,Vindagjord ,Rogaland,,,,
Ulsteinvik barneskule,Ulstein,Møre og Romsdal,"Skulevegen 5, 6065 ULSTEINVIK",462,,
Forset skole,Gausdal,Oppland,"Brubakken 12, 2653 VESTRE GAUSDAL",121,,
Vingar skole,Lillehammer,Oppland,"Saksumdalsvegen 40, 2608 LILLEHAMMER",114,,
Telavåg skule,Sund,Hordaland,"Tælavåg, 5380 TÆLAVÅG",82,,
Føynland skole,Tønsberg,Vestfold,,,,
Heskestad skule,Lund,Rogaland,"Ualand, 4463 UALAND",8,,
Lakselv skole - Avdeling barneskole,Porsanger,Finnmark,"Skoleveien, 9700 LAKSELV",425,,
Ulverud skole,Nittedal,Akershus,"Bekkinga 4, 1481 HAGAN",15,,
Tunballen skole,Sogndalen,Vest-Agder,,,,
Hauka og Soknedal Oppvekstområde - Avd Soknedal sk,Midtre Gauldal,Sør-Trøndelag,,,,
Ølen skule,Vindagjord ,Rogaland,,,,
Vik skule,Vindagjord ,Rogaland,,,,
Østvang Oppvekstsenter - Avdeling skole,Løten,Hedmark,,,,
Ånstad Oppvekstsenter - Avdeling skole,Ibestad,Troms,"Ånstad, 9454 ÅNSTAD",3,,
Kjølsdalen skule,Eid,Sogn og Fjordane,"Kjølsdalen, 6776 KJØLSDALEN",3,,
Hardbakke Skule/solund ungdomsskule,Solund,Sogn og Fjordane,,,,
Venabygd Montessoriskule og Barnehage,Ringebu,Oppland,,,,
Lalm Oppvekstsenter - Skuledel,Vågå,Oppland,,,,
Moldjord skole,Beiarn,Nordland,"Moldjord, 8110 MOLDJORD",4,,
Haukland skole,Vestvågøy,Nordland,"Haverringen 59, 8370 LEKNES",10,,
Larsnes skule,Sande,Møre og Romsdal,"Tippen, 6084 LARSNES",10,,
Håvik skule,Bømlo,Hordaland,,,,
Valderøy ungdomsskule,Giske,Møre og Romsdal,"Valderhaug, 6050 VALDERØYA",105,,
Jønsrud Oppvekstsenter - Avdeling skole,Løten,Hedmark,,,,
Oasen skole AS,Sogndalen,Vest-Agder,,,,
SPAIN - DNS - Ciudad Quesada - Rojales,Utland,Utland,,,,
Sandbekken ungdomsskole og Oppvekstsenter,Rælingen,Akershus,,,,
Stiftelsen Trondheim Kristne grunnskole Tomasskole,Trondheim,Sør-Trøndelag,,,,
Pollen skule,Sund,Hordaland,"Eidesjøen, 5382 SKOGSVÅG",82,,
Rand skule,Stryn,Sogn og Fjordane,"Tonningsgata 82, 6783 STRYN",5,,
Rong Oppvekstsenter - Avdeling skule,Øygarden,Hordaland,,6,,
Tofterøy skule,Sund,Hordaland,"Skogsvåg, 5382 SKOGSVÅG",6,,
Toftøy Oppvekstsenter - Avdeling skule,Øygarden,Hordaland,,6,,
Engesland Oppvekstsenter - Avdeling skule,Birkenes,Aust-Agder,"Engesland, 4768 ENGESLAND",7,,
Finnøy Sentralskule,Finnøy,Rogaland,"Haga, 4160 FINNØY",46,,
Hosanger Montessoriskule,Osterøy,Hordaland,"Hosanger, 5282 LONEVÅG",16,,
Karlstad skole,Målselv,Troms,"Karlstad, 9322 KARLSTAD",3,,
Rukkedalen Friskole,Nes,Buskerud,"Rukkedalen, 3540 NESBYEN",7,,
Stegaberg skole,Tysvær,Rogaland,"Stegaberg, 5563 FØRRESFJORDEN",,,
Huglo skule,Stord,Hordaland,"5413,   ",7,-34.0183932,138.8500041
Blomvåg og Breivik Oppvekstsenter - Avd skule,Øygarden,Hordaland,"Høgeseto, 5337 RONG",,30.658602,104.064857
Furulunden skole,Mandal,Vest-Agder,"Bankeveien 4, 4514 MANDAL",483,58.0243309,7.4457038
Blomdalen ungdomsskole,Mandal,Vest-Agder,"Kallhammerveien 2 A, 4514 MANDAL",483,58.0263064,7.4422702
Vassmyra ungdomsskole,Mandal,Vest-Agder,"Vassmyrveien 10, 4515 MANDAL",483,58.0278436,7.4963857
Ime skole,Mandal,Vest-Agder,"Kristiansandsveien 105, 4516 MANDAL",162,58.0336805,7.4928513
Frøysland skole,Mandal,Vest-Agder,"Livegen 47, 4517 MANDAL",48,58.0372112,7.4526839
Spangereid skole,Lindesnes,Vest-Agder,"4521, SPANGEREID  ",23,58.04784,7.154555
Tånevig Grendeskole AS,Søgne,Vest-Agder,"Tånevigveien 30, 4640 SØGNE",6,58.0542356,7.6465515
Flekkerøy skole,Kristiansand,Vest-Agder,"Sildenestangen 50, 4625 FLEKKERØY",64,58.0725677,7.9950619
Langenes skole,Søgne,Vest-Agder,"Langenesveien 230, 4640 SØGNE",598,58.0779531,7.8553413
Stiftelsen Farsund Kristne grunnskole,Farsund,Vest-Agder,"Lunde, 4550 FARSUND",1,58.07972,6.7682836
Lindesnes ungdomsskole,Lindesnes,Vest-Agder,"Peder Claussøns Vei 4, 4520 SØR-AUDNEDAL",70,58.0811057,7.3103945
Nyplass skole,Lindesnes,Vest-Agder,"Peder Claussøns Vei 4, 4520 SØR-AUDNEDAL",121,58.0811057,7.3103945
Samfundets skole Oftenes,Søgne,Vest-Agder,"Oftenesheia 2, 4640 SØGNE",7,58.0841435,7.7685871
Vigmostad skole,Lindesnes,Vest-Agder,"Vigmostad, 4520 SØR-AUDNEDAL",2,58.0841667,7.3047222
Holum skole,Mandal,Vest-Agder,"Møglandsveien 7, 4519 HOLUM",483,58.0869506,7.4229814
Nygård skole,Søgne,Vest-Agder,"Nygårdsheia 17, 4640 SØGNE",62,58.0904506,7.8167854
Lista ungdomsskole,Farsund,Vest-Agder,"Tingvollen 19, 4560 VANSE",84,58.0916392,6.6897472
Farsund barne- og ungdomsskole,Farsund,Vest-Agder,"Markeveien 23, 4550 FARSUND",50,58.0920843,6.7959555
Tangvall skole,Søgne,Vest-Agder,"Stemmveien 2, 4683 SØGNE",39,58.0925017,7.7860978
Lunde skole,Søgne,Vest-Agder,"Repstadveien 11, 4640 SØGNE",7,58.0964507,7.7707218
Ore skole,Farsund,Vest-Agder,"Ore, 4560 VANSE",12,58.0973048,6.6863068
Vanse skole,Farsund,Vest-Agder,"Hetland, 4560 VANSE",35,58.0983587,6.6922931
Borhaug skole,Farsund,Vest-Agder,"Postveien 11, 4563 BORHAUG",,58.1000006,6.5868424
Tinntjønn skole,Søgne,Vest-Agder,"Repstadveien 70, 4640 SØGNE",38,58.100766,7.7655046
Sjøstrand skole,Kristiansand,Vest-Agder,"Måkeveien 1, 4623 KRISTIANSAND S",370,58.1014916,7.9770147
Torkelsmyra skole,Kristiansand,Vest-Agder,"Voie Ringvei 112, 4624 KRISTIANSAND S",404,58.1019457,7.9486132
Møvig skole,Kristiansand,Vest-Agder,"Flatholmveien 1, 4623 KRISTIANSAND S",167,58.1040633,7.9727578
Vågsbygd skole,Kristiansand,Vest-Agder,"Kirsten Flagstads Vei 26, 4621 KRISTIANSAND S",86,58.1237098,7.957905
Fiskå skole,Kristiansand,Vest-Agder,"Kirsten Flagstads Vei 28, 4621 KRISTIANSAND S",42,58.1256317,7.9548671
Kringsjå skole,Kristiansand,Vest-Agder,"Kongshavnveien 110, 4639 KRISTIANSAND S",404,58.127555,8.1157851
Karuss skole,Kristiansand,Vest-Agder,"Karussveien 10, 4620 KRISTIANSAND S",18,58.1289505,7.9507973
Slettheia skole,Kristiansand,Vest-Agder,"Slettheiveien 71, 4626 KRISTIANSAND S",404,58.1327241,7.9620294
Dvergsnes skole,Kristiansand,Vest-Agder,"Odderhei 1, 4639 KRISTIANSAND S",393,58.1342772,8.0773335
Berge barneskole,Lyngdal,Vest-Agder,"Abraham Berges Gate 18, 4580 LYNGDAL",41,58.1369622,7.0676489
Berge ungdomsskole,Lyngdal,Vest-Agder,"Stadionveien 12, 4580 LYNGDAL",50,58.1375211,7.0647918
Å ungdomsskole,Lyngdal,Vest-Agder,"Stadionveien 12, 4580 LYNGDAL",50,58.1375211,7.0647918
Årnes skole,Lyngdal,Vest-Agder,"Pråmstøveien 17, 4580 LYNGDAL",131,58.1443922,7.0497896
Kvås skole,Lyngdal,Vest-Agder,"Moi 23, 4588 KVÅS",2,58.1443922,7.0497896
Vardåsen skole,Kristiansand,Vest-Agder,"Vardåsveien 115, 4637 KRISTIANSAND S",379,58.1449929,8.0592702
Hellemyr skole,Kristiansand,Vest-Agder,"Hellemyrtoppen 3, 4628 KRISTIANSAND S",404,58.1473235,7.9356264
Solholmen skole,Kristiansand,Vest-Agder,"Møllevannsveien 52, 4617 KRISTIANSAND S",404,58.1481272,7.9690366
Karl Johans Minne skole,Kristiansand,Vest-Agder,"Malmveien 4, 4629 KRISTIANSAND S",404,58.1484486,7.9555167
Lindebøskauen skole,Kristiansand,Vest-Agder,"Lindebøskauen 101, 4625 FLEKKERØY",57,58.1489804,7.9700353
Oddemarka skole,Kristiansand,Vest-Agder,"St. Olavs Vei 22, 4631 KRISTIANSAND S",434,58.1489804,7.9700353
Grim skole,Kristiansand,Vest-Agder,"Møllevannsveien 50, 4617 KRISTIANSAND S",404,58.1489804,7.9700353
Tordenskjoldsgate skole,Kristiansand,Vest-Agder,"Tordenskioldsgate 49, 4614 KRISTIANSAND S",404,58.1489804,7.9700353
Samfundets skole Sentrum,Kristiansand,Vest-Agder,"Kristian Ivs Gate 65, 4614 KRISTIANSAND S",9,58.1498633,7.9949913
Wilds Minne skole,Kristiansand,Vest-Agder,"Marviksveien 90, 4632 KRISTIANSAND S",404,58.1501421,8.0244137
Strømme skole,Kristiansand,Vest-Agder,"Strømmeveien 95, 4638 KRISTIANSAND S",404,58.1523925,8.0808508
Holte skole,Kristiansand,Vest-Agder,"Bordalsbakken 5, 4639 KRISTIANSAND S",404,58.1562681,8.0175364
Mottaksskolen,Kristiansand,Vest-Agder,"Kongsgård Alle 20, 4631 KRISTIANSAND S",119,58.1562681,8.0175364
Lovisenlund skole,Kristiansand,Vest-Agder,"Marcus Thranes Gate 20, 4630 KRISTIANSAND S",30,58.1563913,8.0085169
Haumyrheia skole,Kristiansand,Vest-Agder,"Haumyrveien 39, 4637 KRISTIANSAND S",165,58.1574979,8.066431
Steinerskolen i Kristiansand,Kristiansand,Vest-Agder,"Trymsvei 13, 4631 KRISTIANSAND S",404,58.158866,8.0154424
Å barneskole,Lyngdal,Vest-Agder,"Abraham Berges Gate 18, 4580 LYNGDAL",131,58.1593326,7.09765
Presteheia skole,Kristiansand,Vest-Agder,"Presteheia 10, 4633 KRISTIANSAND S",39,58.1661679,8.0126802
Øyslebø Skole/marnar ungdomsskole,Marnardal,Vest-Agder,"Matkroken, 4532 ØYSLEBØ",17,58.1715422,7.5546727
Krossen skole,Kristiansand,Vest-Agder,"St. Olavs Vei 22, 4631 KRISTIANSAND S",404,58.1749506,8.0905877
Vigvoll skole,Kristiansand,Vest-Agder,"Fruktveien 25, 4635 KRISTIANSAND S",57,58.1749506,8.0905877
Hånes skole,Kristiansand,Vest-Agder,"Øvre Brattbakken 1, 4635 KRISTIANSAND S",404,58.1779797,8.0913798
Fagerholt skole,Kristiansand,Vest-Agder,"Tretjønnveien 2, 4633 KRISTIANSAND S",404,58.1790854,8.0349029
Justøy skole - Montessoriskolen i Lillesand,Lillesand,Aust-Agder,"Mæbø, 4780 BREKKESTØ",6,58.1965095,8.3493599
Justvik skole,Kristiansand,Vest-Agder,"Kvernhusheia 2, 4634 KRISTIANSAND S",16,58.2039533,8.0294091
Torridal skole,Kristiansand,Vest-Agder,"Hommeren 1, 4618 KRISTIANSAND S",379,58.2044593,7.9265105
Mosby skole,Kristiansand,Vest-Agder,"Kiledalen 60, 4619 MOSBY",18,58.2203311,7.9257159
Ve skole,Kristiansand,Vest-Agder,"St. Olavs Vei 22, 4631 KRISTIANSAND S",404,58.2342796,8.1228466
Hidra skole,Flekkefjord,Vest-Agder,"Kirkehamnveien 18, 4432 HIDRASUND",44,58.2377686,6.5569127
Kvarstein skole,Vennesla,Vest-Agder,"Høylandsvegen 20, 4700 VENNESLA",152,58.2403662,7.9427647
Borkedalen skole,Lillesand,Aust-Agder,"Bjørkeveien 12, 4790 LILLESAND",28,58.2433654,8.3636805
Havlimyra skole,Kristiansand,Vest-Agder,"Havliveien 8, 4634 KRISTIANSAND S",404,58.2447722,8.0364046
Bjelland skole,Marnardal,Vest-Agder,"Bjelland, 4536 BJELLAND",8,58.250038,7.51864
Laudal skole,Marnardal,Vest-Agder,"Laudal, 4534 MARNARDAL",4,58.250038,7.51864
Brentemoen skole,Lillesand,Aust-Agder,"Børge Trulssønsgate 2, 4790 LILLESAND",80,58.2507995,8.377404
Høvåg skole,Lillesand,Aust-Agder,"4770, HØVÅG  ",19,58.2511062,8.3697107
Lillesand ungdomsskole,Lillesand,Aust-Agder,"Møglestu, 4790 LILLESAND",86,58.2511062,8.3697107
Hunsfoss skole,Vennesla,Vest-Agder,"Venneslavegen 253, 4700 VENNESLA",45,58.2595325,7.9715741
Tingsaker skole,Lillesand,Aust-Agder,"Tingsakermoen, 4790 LILLESAND",24,58.2601526,8.3323945
Feda skole,Kvinesdal,Vest-Agder,"Feda, 4485 FEDA",9,58.2628442,6.8201568
Moseidmoen skole,Vennesla,Vest-Agder,"Moseidmoen, 4700 VENNESLA",152,58.2638346,7.9601143
Eide Oppvekstsenter - Avd skole,Grimstad,Aust-Agder,,,58.2708695,8.5039739
Vennesla ungdomsskole,Vennesla,Vest-Agder,"Skolevegen 9, 4700 VENNESLA",234,58.2751862,7.9773677
Vennesla skole,Vennesla,Vest-Agder,"Skolevegen 5, 4700 VENNESLA",152,58.2773063,7.974046
Åna-Sira Interkommunale skole,Flekkefjord,Vest-Agder,"Midtbø 52, 4420 ÅNA-SIRA",11,58.2924809,6.4402702
Sunde skole,Flekkefjord,Vest-Agder,"Grønnesveien 5, 4400 FLEKKEFJORD",43,58.2943155,6.6680207
Skarpengland skole,Vennesla,Vest-Agder,"Skarpengland, 4715 ØVREBØ",15,58.2946734,7.8559798
Kvinesdal ungdomsskole,Kvinesdal,Vest-Agder,"Åsevegen, 4480 KVINESDAL",77,58.2972379,6.9491581
Sira skole,Flekkefjord,Vest-Agder,"Sirnesvegen 124, 4438 SIRA",8,58.3031188,6.6678587
Gyland skole,Flekkefjord,Vest-Agder,"Kongevold, 4436 GYLAND",3,58.3031188,6.6678587
Flekkefjord ungdomsskole,Flekkefjord,Vest-Agder,"Tunveien 16, 4400 FLEKKEFJORD",111,58.3031188,6.6678587
Konsmo skole,Audnedal,Vest-Agder,"Helle, 4525 KONSMO",54,58.3066363,7.3623857
Liknes skole,Kvinesdal,Vest-Agder,"Prestegårdsvegen, 4480 KVINESDAL",302,58.3123916,6.9654776
Samkom skole,Vennesla,Vest-Agder,"Venneslavegen 512, 4700 VENNESLA",13,58.3150231,8.0036023
Valstrand skole,Birkenes,Aust-Agder,"Valtjønnveien, 4760 BIRKELAND",4,58.3229346,8.2390579
Holviga skole,Grimstad,Aust-Agder,"Terje Løvås Vei 121, 4879 GRIMSTAD",235,58.3257314,8.5648581
Birkeland Oppvekstsenter - Avdeling skole,Birkenes,Aust-Agder,"Limoen, 4760 BIRKELAND",51,58.3299953,8.2310938
Hesnes skole Montessoriskolen i Grimstad,Grimstad,Aust-Agder,"Hesnes, 4885 GRIMSTAD",8,58.3413848,8.6344271
Sokndal ungdomsskole,Sokndal,Rogaland,"4380, HAUGE I DALANE  ",40,58.342214,6.2813866
Hauge skole,Sokndal,Rogaland,"Skoleveien 2, 4380 HAUGE I DALANE",21,58.342214,6.2813866
Grimstad ungdomsskole,Grimstad,Aust-Agder,"Levermyrveien 32, 4878 GRIMSTAD",2,58.3458305,8.5893447
Fevik skole,Grimstad,Aust-Agder,"Feviktoppen 30, 4870 FEVIK",30,58.3458305,8.5893447
Frivoll skole,Grimstad,Aust-Agder,"Opplandsveien 65, 4877 GRIMSTAD",24,58.3468881,8.5768156
Jappa skole,Grimstad,Aust-Agder,"Frivoldveien 44, 4877 GRIMSTAD",142,58.3484559,8.5857014
Landvik Sentralskole,Grimstad,Aust-Agder,"Gjærbrøndveien 250, 4886 GRIMSTAD",50,58.3500212,8.5336945
Austerdalen skole,Kvinesdal,Vest-Agder,"Jerstadmonen, 4480 KVINESDAL",5,58.3571344,7.0359842
Fjære skole,Grimstad,Aust-Agder,"Bringsværveien 11, 4885 GRIMSTAD",28,58.3708331,8.6223818
Eikeland skole,Vennesla,Vest-Agder,"Eikeland, 4720 HÆGELAND",4,58.383578,7.7399925
Kollemo skole,Hægebostad,Vest-Agder,"Kollemo, 4595 TINGVATN",598,58.387373,7.232769
Vesterdalen skole,Kvinesdal,Vest-Agder,"Breimoen, 4480 KVINESDAL",3,58.388827,6.9534408
Nedenes skole,Arendal,Aust-Agder,"Fylkesvei 180, 4823 NEDENES",459,58.4150947,8.7005006
Vatnestrøm Oppvekstsenter - Avdeling skole,Iveland,Aust-Agder,"Vatnestrøm, 4730 VATNESTRØM",5,58.4198865,8.0597663
Byremo ungdomsskole,Audnedal,Vest-Agder,"Byremo, 4529 BYREMO",46,58.4204981,7.4038683
Byremo barneskole,Audnedal,Vest-Agder,"Hårtveit, 4529 BYREMO",83,58.4204981,7.4038683
Rundevoll skole,Eigersund,Rogaland,"Vikingveien 7, 4370 EGERSUND",22,58.431175,5.9981699
Arendal International School (a Is),Arendal,Aust-Agder,"Julius Smiths Vei 40, 4817 HIS",6,58.4317851,8.7417141
Rykene Oppvekstsenter - Avdeling skole,Arendal,Aust-Agder,"Rykene, 4821 RYKENE",22,58.4341009,8.7001817
Asdal skole,Arendal,Aust-Agder,"Asdal, 4824 BJORBEKK",81,58.4346742,8.6997714
Løddesøl Oppvekstsenter - Avdeling skole,Arendal,Aust-Agder,"Løddesøl, 4821 RYKENE",22,58.438322,8.6260872
Myra skole,Arendal,Aust-Agder,"Myra, 4848 ARENDAL",215,58.4404228,8.7497015
Hisøy skole - 1-10 Skoler,Arendal,Aust-Agder,"Trommestadveien 64, 4817 HIS",47,58.4441928,8.7659996
Samfundets skole,Eigersund,Rogaland,"Sokndalsveien 53, 4370 EGERSUND",53,58.4450129,6.005858
Husabø ungdomsskole,Eigersund,Rogaland,"Husabøveien 1, 4370 EGERSUND",220,58.4488614,5.9975072
Husabø skole,Eigersund,Rogaland,"Husabøveien 1, 4370 EGERSUND",184,58.4488614,5.9975072
Strømmen Oppvekstsenter - Avd skole,Arendal,Aust-Agder,"Vestre Strømsbuvei 26, 4839 ARENDAL",22,58.4506089,8.7431142
Nygård barneskole,Lund,Rogaland,"Nygårdsveien 2, 4460 MOI",22,58.4529199,6.5513852
Kiellands Minde skole,Lund,Rogaland,"4462, HOVSHERAD  ",5,58.4529199,6.5513852
Lund ungdomsskole,Lund,Rogaland,"Eikelandsveien 2, 4460 MOI",136,58.4529199,6.5513852
Eigerøy skole,Eigersund,Rogaland,"Uførfjellveien 26, 4370 EGERSUND",31,58.4550554,5.9711815
Roligheden skole - Barne-/ungdomstrinnet,Arendal,Aust-Agder,"Roligheden Tromøy, 4818 FÆRVIK",41,58.4567062,8.8170768
Gamleveien skole,Eigersund,Rogaland,"Gamleveien 87, 4370 EGERSUND",9,58.4570038,6.012012
St Franciskus skole,Arendal,Aust-Agder,"Kirkebakken 10, 4836 ARENDAL",29,58.4583008,8.76497
Iveland skole,Iveland,Aust-Agder,"Birketveit, 4724 IVELAND",18,58.4608195,7.9141785
Stinta skole - Barne-/ungdomstrinnet,Arendal,Aust-Agder,"Stinteveien 4, 4836 ARENDAL",45,58.4620678,8.7577454
Lagård ungdomsskole,Eigersund,Rogaland,"Sjukehusveien 28, 4370 EGERSUND",94,58.4643013,6.0159501
Steinerskolen i Arendal,Arendal,Aust-Agder,"Springklev 6, 4838 ARENDAL",459,58.4659151,8.7585129
Grøne Bråden skole,Eigersund,Rogaland,"Grøne Bråden 31, 4370 EGERSUND",54,58.4673625,6.0067118
Birkenlund skole,Arendal,Aust-Agder,"Gamle Songevei 65, 4842 ARENDAL",230,58.4699982,8.7914431
Dalane Kristne skole,Eigersund,Rogaland,"Maurtråkket 3, 4370 EGERSUND",46,58.4708617,6.0210961
Eiken skule,Hægebostad,Vest-Agder,"Tveitosen, 4596 EIKEN",107,58.475429,7.2215921
Moltemyr skole,Arendal,Aust-Agder,"Moltemyrsvingen 33, 4846 ARENDAL",459,58.4756578,8.7648031
Hellvik skole,Eigersund,Rogaland,"Sletteveien 29, 4375 HELLVIK",64,58.4806092,5.88949
Sandnes skole,Arendal,Aust-Agder,"Østre Tromøyvei 461, 4812 KONGSHAVN",185,58.4864965,8.8637169
Stuenes skole - Barne- og Ungdomstrinn,Arendal,Aust-Agder,"Skolebakken 1, 4815 SALTRØD",89,58.4946657,8.8469304
Eydehavn skole,Arendal,Aust-Agder,"Kloppedal, 4810 EYDEHAVN",29,58.4980519,8.8638666
Ogna skule,Hå,Rogaland,"Kyrkjeberget 2, 4364 SIREVÅG",28,58.5174628,5.8076582
Kvinlog skule,Kvinesdal,Vest-Agder,"Kvinlog, 4473 KVINLOG",40,58.5244822,6.9326564
Herefoss skole,Birkenes,Aust-Agder,"Torsbumoen, 4766 HEREFOSS",4,58.5269984,8.3531649
Helleland skole,Eigersund,Rogaland,"Strømstad, 4376 HELLELAND",103,58.5347257,6.1486824
Flosta skole,Arendal,Aust-Agder,"Fullriggerveien 8, 4920 STAUBØ",164,58.5533902,8.9729499
Hornnes barneskule,Evje og Hornnes,Aust-Agder,"Hornnes, 4737 HORNNES",4,58.5546457,7.7733161
Froland skole,Froland,Aust-Agder,"Mjølhusmoen, 4820 FROLAND",25,58.5615782,8.6407186
Nesheim skole,Arendal,Aust-Agder,"Nesheim Austre Moland, 4849 ARENDAL",459,58.562669,8.84808
Vigrestad Storskule,Hå,Rogaland,"Langgata 91, 4362 VIGRESTAD",40,58.5699023,5.7019216
Bjerkreim skule,Bjerkreim,Rogaland,"Bjerkreim 14, 4387 BJERKREIM",62,58.5834179,6.0763044
Evje barneskule,Evje og Hornnes,Aust-Agder,"Evje, 4735 EVJE",34,58.6056839,7.9611574
Evje ungdomsskule,Evje og Hornnes,Aust-Agder,"Evje, 4735 EVJE",20,58.6056839,7.9611574
Holt skole,Tvedestrand,Aust-Agder,"Holt, 4900 TVEDESTRAND",2,58.6066667,8.8711111
Varhaug skule,Hå,Rogaland,"Pilevegen 1, 4360 VARHAUG",73,58.6164203,5.6528759
Tvedestrand skole,Tvedestrand,Aust-Agder,"Arne Garborgs Vei 11, 4900 TVEDESTRAND",2,58.6250621,8.9282423
Dypvåg skole,Tvedestrand,Aust-Agder,"Dypvåg, 4900 TVEDESTRAND",,58.6261111,9.0522222
Lyngmyr skole,Tvedestrand,Aust-Agder,"Lyngmyrveien 60, 4900 TVEDESTRAND",,58.6285489,8.934094
Mykland Oppvekstsenter - Avd skole,Froland,Aust-Agder,"Mykland, 4832 MYKLAND",4,58.6312346,8.2831306
Vikeså skule,Bjerkreim,Rogaland,"Vikesågata 46 A, 4389 VIKESÅ",32,58.6321343,6.079485
Varhaug ungdomsskule,Hå,Rogaland,"Opstadvegen 601, 4360 VARHAUG",42,58.6509325,5.6687125
Motland skule,Hå,Rogaland,"Bjørkevegen 4, 4365 NÆRBØ",61,58.6620546,5.642303
Høyland skule,Hå,Rogaland,"Jærvegen 20, 4365 NÆRBØ",94,58.6654647,5.6378693
Tonstad skule,Sirdal,Vest-Agder,"Tonstad, 4440 TONSTAD",16,58.6668951,6.716091
Nærbø ungdomsskule,Hå,Rogaland,"Torlandsvegen 2, 4365 NÆRBØ",267,58.6699723,5.639646
Tryggheim ungdomsskule,Hå,Rogaland,"Tryggheimvegen 13, 4365 NÆRBØ",42,58.6727398,5.6359007
Bø skule,Bø,Telemark,"Bøvegen 23, 4365 NÆRBØ",58,58.6729636,5.6511207
Bø skule,Hå,Rogaland,"Bøvegen 23, 4365 NÆRBØ",94,58.6729636,5.6511207
Vigre skule,Hå,Rogaland,"Håvegen 61, 4365 NÆRBØ",10,58.6729636,5.6511207
Undheim skule,Time,Rogaland,"Undheim, 4342 UNDHEIM",25,58.6828297,5.7753065
Songe skole,Tvedestrand,Aust-Agder,"Songe, 4909 SONGE",10,58.6849158,9.0067595
